Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,search-query,query-date,doi,bibtex,doi_link,No Survey / Literature Review,Contains Experiments and Results for WTPC,Full Text Available,Used Features,Used Models,Used Evaluation Metrics,Dataset Description,Dataset From Date,Dataset To Date,Time period,Granularity,Number of Turbines,Location,Available Features,Power per WT,Onshore/Offshore?,Observed Failures,Dataset Availability,Source Code Availability
"Li, Yanting; Wang, Peng; Wu, Zhenyu; Su, Yan; ",Collaborative monitoring of wind turbine performance based on probabilistic power curve comparison,Renewable Energy,231.0,,120919,2024,Elsevier,power curve monitoring,2025-06-12,10.1016/j.renene.2024.120919,"@article{Li_2024, title={Collaborative monitoring of wind turbine performance based on probabilistic power curve comparison}, volume={231}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2024.120919}, DOI={10.1016/j.renene.2024.120919}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Li, Yanting and Wang, Peng and Wu, Zhenyu and Su, Yan}, year={2024}, month=sep, pages={120919} }",https://doi.org/10.1016/j.renene.2024.120919,True,False,True,,,None,,,,,,,,,,,,,
"Sebastiani, Alessandro; Angelou, Nikolas; Peña, Alfredo; ",Wind turbine power curve modelling under wake conditions using measurements from a spinner-mounted lidar,Applied Energy,364.0,,122985,2024,Elsevier,power curve modelling,2025-06-12,10.1016/j.apenergy.2024.122985,"@article{Sebastiani_2024, title={Wind turbine power curve modelling under wake conditions using measurements from a spinner-mounted lidar}, volume={364}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2024.122985}, DOI={10.1016/j.apenergy.2024.122985}, journal={Applied Energy}, publisher={Elsevier BV}, author={Sebastiani, Alessandro and Angelou, Nikolas and Peña, Alfredo}, year={2024}, month=jun, pages={122985} }",https://doi.org/10.1016/j.apenergy.2024.122985,True,True,True,Turbulence Intensity,"IEC Standard, Polynomial regression","RMSE, MAPE",,02-09-2012,11-09-2012,,"10min
(Der Datensatz ist vermutlich deutlich genauer durch den SpinnerLidar, aber die Vorhersagen werden auf Basis von 10min Intervallen gemacht)",8,"Tjæreborg, western Denmark",1424,2.3 MW,Onshore,,No,
"Marti-Puig, Pere; Hernández, Jose Ángel; Solé-Casals, Jordi; Serra-Serra, Moises; ",Enhancing reliability in wind turbine power curve estimation,Applied Sciences,14.0,6.0,2479,2024,MDPI,power curve estimation,2025-06-12,10.3390/app14062479,"@article{Marti_Puig_2024, title={Enhancing Reliability in Wind Turbine Power Curve Estimation}, volume={14}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app14062479}, DOI={10.3390/app14062479}, number={6}, journal={Applied Sciences}, publisher={MDPI AG}, author={Marti-Puig, Pere and Hernández, Jose Ángel and Solé-Casals, Jordi and Serra-Serra, Moises}, year={2024}, month=mar, pages={2479} }",https://doi.org/10.3390/app14062479,True,True,True,Wind Speed Only,Feed forward NN,RMSE,fuhrlander,1/1/2012,31/12/2014,,5 min,5,,1,2.5,,1,Yes,No
"Hagar, Luke; Stevens, Nathaniel T; ",Fast power curve approximation for posterior analyses,Bayesian Analysis,1.0,1.0,1-26,2024,International Society for Bayesian Analysis,power curve estimation,2025-06-12,10.1214/24-ba1469,"@article{Hagar_2024, title={Fast Power Curve Approximation for Posterior Analyses}, volume={1}, ISSN={1936-0975}, url={http://dx.doi.org/10.1214/24-ba1469}, DOI={10.1214/24-ba1469}, number={1}, journal={Bayesian Analysis}, publisher={Institute of Mathematical Statistics}, author={Hagar, Luke and Stevens, Nathaniel T.}, year={2024}, month=jan }",https://doi.org/10.1214/24-ba1469,True,False,True,,,None,,,,,,,,,,,,,
"Letzgus, Simon; Müller, Klaus-Robert; ",An explainable AI framework for robust and transparent data-driven wind turbine power curve models,Energy and AI,15.0,,100328,2024,Elsevier,power curve model,2025-06-12,10.1016/j.egyai.2023.100328,"@article{Letzgus_2024, title={An explainable AI framework for robust and transparent data-driven wind turbine power curve models}, volume={15}, ISSN={2666-5468}, url={http://dx.doi.org/10.1016/j.egyai.2023.100328}, DOI={10.1016/j.egyai.2023.100328}, journal={Energy and AI}, publisher={Elsevier BV}, author={Letzgus, Simon and Müller, Klaus-Robert}, year={2024}, month=jan, pages={100328} }",https://doi.org/10.1016/j.egyai.2023.100328,True,True,True,"Air Density, Turbulence Intensity, Yaw Misalignment, Blade Pitch Angle","IEC Standard, Piece-wise Linear Regression, Piece-wise Polynomial Regression, RF, MLP, SVR","R^2, RMSE",EDP,01.01.2016,31.12.2017,,10 min,4,Gulf of Guinea,121,2,Offshore,28,Yes,Yes
"Capelletti, Marco; Raimondo, Davide M; De Nicolao, Giuseppe; ",Wind power curve modeling: A probabilistic Beta regression approach,Renewable Energy,223.0,,119970,2024,Elsevier,power curve model,2025-06-12,10.1016/j.renene.2024.119970,"@article{Capelletti_2024, title={Wind power curve modeling: A probabilistic Beta regression approach}, volume={223}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2024.119970}, DOI={10.1016/j.renene.2024.119970}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Capelletti, Marco and Raimondo, Davide M. and De Nicolao, Giuseppe}, year={2024}, month=mar, pages={119970} }",https://doi.org/10.1016/j.renene.2024.119970,True,True,True,"Wind Direction, Datetime","GLM, QRF, IEC Standard","MAE, RMSE, R^2, WMAPE, Cross Entropy","A, B, C","1/1/2018, 1/1/2018, 1/1/2016","31/12/2018, 31/3/2020, 1/7/2021",,10 min,je 1,"Turkey, -, Penmanshiel Wind Farm (UK)",3; 2; 2,2,Onshore,,Yes,No
"Qiao, Yanhui; Han, Shuang; Zhang, Yajie; Liu, Yongqian; Yan, Jie; ",A multivariable wind turbine power curve modeling method considering segment control differences and short-time self-dependence,Renewable Energy,222.0,,119894,2024,Elsevier,power curve model,2025-06-12,10.1016/j.renene.2023.119894,"@article{Qiao_2024, title={A multivariable wind turbine power curve modeling method considering segment control differences and short-time self-dependence}, volume={222}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2023.119894}, DOI={10.1016/j.renene.2023.119894}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Qiao, Yanhui and Han, Shuang and Zhang, Yajie and Liu, Yongqian and Yan, Jie}, year={2024}, month=feb, pages={119894} }",https://doi.org/10.1016/j.renene.2023.119894,True,True,True,"Ambient Temperature, Generator speed, Wind Direction, Air Pressure, Turbulence Intensity, Wind Shear, Air Density","LSTM, GRU","RMSE, MAE",,,,,10 min,2,China,5,1.5,Onshore,,No,No
"Teshome, Abeba Debru; Kahsay, Mulu Bayray; Cabrera, Maria Marta Molinas; ",Assessment of power curve performance of wind turbines in Adama-II Wind Farm,Energy Reports,12.0,,2209-2223,2024,Elsevier,wind farm power curve,2025-06-12,10.1016/j.egyr.2024.07.060,"@article{Teshome_2024, title={Assessment of power curve performance of wind turbines in Adama-II Wind Farm}, volume={12}, ISSN={2352-4847}, url={http://dx.doi.org/10.1016/j.egyr.2024.07.060}, DOI={10.1016/j.egyr.2024.07.060}, journal={Energy Reports}, publisher={Elsevier BV}, author={Teshome, Abeba Debru and Kahsay, Mulu Bayray and Molinas Cabrera, Maria Marta}, year={2024}, month=dec, pages={2209–2223} }",https://doi.org/10.1016/j.egyr.2024.07.060,True,True,True,"Humidity, Air Pressure, Air Density, Ambient Temperature",ANN,"MAE, RMSE, R^2",2017 SCADA & mast data of Adama-II Wind Farm,01.01.2017,31.12.2017,,10 min,3,"Adama-II Wind Farm, South-East Ethiopia",,"1,5009",Onshore,,On Request,No
"Wang, Yun; Duan, Xiaocong; Song, Dongran; Zou, Runmin; Zhang, Fan; Li, Yifen; ",Wind power curve modeling with large-scale generalized kernel-based regression model,IEEE Transactions on Sustainable Energy,14.0,4.0,2121-2132,2023,IEEE,power curve model,2025-06-12,10.1109/tste.2023.3276906,"@article{Wang_2023, title={Wind Power Curve Modeling With Large-Scale Generalized Kernel-Based Regression Model}, volume={14}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2023.3276906}, DOI={10.1109/tste.2023.3276906}, number={4}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wang, Yun and Duan, Xiaocong and Song, Dongran and Zou, Runmin and Zhang, Fan and Li, Yifen}, year={2023}, month=oct, pages={2121–2132} }",https://doi.org/10.1109/tste.2023.3276906,True,True,True,"Turbulence Intensity, Air Density, Wind Direction, Wind Shear",AMK,"MAE, RMSE, NMAPE, R^2",,"(1) 15-03-2018
(2) 01-04-202
(3) 01-01-2020
(4) 04-04-2018","(1) 15-11-2015
(2) 31-12-2020
(3) 30-03-2020
(4) 10-06-2018",,10min for all datasets,,"(1) Turkey
(2)
(3)
(4) Nanjing, China",,,Beides,,Yes,No
"Jing, Hua; Zhao, Chun-hui; ",A data expansion based piecewise regression strategy for incrementally monitoring the wind turbine with power curve,Journal of Central South University,30.0,5.0,1601-1617,2023,Springer,power curve monitoring,2025-06-12,0.1007/s11771-023-5325-5,"@article{Jing_2023, title={A data expansion based piecewise regression strategy for incrementally monitoring the wind turbine with power curve}, volume={30}, ISSN={2227-5223}, url={http://dx.doi.org/10.1007/s11771-023-5325-5}, DOI={10.1007/s11771-023-5325-5}, number={5}, journal={Journal of Central South University}, publisher={Springer Science and Business Media LLC}, author={Jing, Hua and Zhao, Chun-hui}, year={2023}, month=may, pages={1601–1617} }",https://doi.org/10.1007/s11771-023-5325-5,True,True,True,"Wind Direction, Rotor RPM, Generator speed, Gear Shaft Speed, Component Temperature(s)","Relevance Vector Machine, Incremental Learning","R^2, MAE, MSE",,,,,,"2 (one newly installed, one long-running)",Southeastern China,,,,1503 abnormal observations,No,No
